Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	0.0000	0.0000	infinite	12.971	15.449	445.20	12.472	20.786	177.35	undefined	22.879	0.0054834	vapor
298.00	0.0025000	0.00010090	9910.7	12.971	15.449	138.81	12.472	20.787	177.35	1.8274	22.881	0.0054847	vapor
298.00	0.0050000	0.00020180	4955.3	12.971	15.449	133.04	12.472	20.787	177.35	1.8274	22.882	0.0054852	vapor
298.00	0.0075000	0.00030271	3303.5	12.971	15.448	129.67	12.472	20.788	177.35	1.8274	22.883	0.0054856	vapor
298.00	0.010000	0.00040362	2477.6	12.971	15.448	127.28	12.472	20.788	177.35	1.8274	22.883	0.0054859	vapor
298.00	0.012500	0.00050453	1982.0	12.971	15.448	125.42	12.472	20.789	177.34	1.8274	22.884	0.0054862	vapor
298.00	0.015000	0.00060544	1651.7	12.971	15.448	123.91	12.473	20.790	177.34	1.8274	22.884	0.0054865	vapor
298.00	0.017500	0.00070636	1415.7	12.971	15.448	122.63	12.473	20.790	177.34	1.8274	22.885	0.0054867	vapor
298.00	0.020000	0.00080728	1238.7	12.970	15.448	121.52	12.473	20.791	177.34	1.8274	22.885	0.0054870	vapor
298.00	0.022500	0.00090820	1101.1	12.970	15.448	120.54	12.473	20.791	177.34	1.8274	22.886	0.0054872	vapor
298.00	0.025000	0.0010091	990.96	12.970	15.448	119.66	12.473	20.792	177.34	1.8274	22.886	0.0054875	vapor
298.00	0.027500	0.0011101	900.86	12.970	15.448	118.87	12.473	20.792	177.34	1.8274	22.886	0.0054877	vapor
298.00	0.030000	0.0012110	825.78	12.970	15.448	118.14	12.473	20.793	177.34	1.8274	22.887	0.0054879	vapor
298.00	0.032500	0.0013119	762.24	12.970	15.447	117.48	12.474	20.794	177.34	1.8273	22.887	0.0054881	vapor
298.00	0.035000	0.0014129	707.79	12.970	15.447	116.86	12.474	20.794	177.34	1.8273	22.888	0.0054883	vapor
298.00	0.037500	0.0015138	660.59	12.970	15.447	116.29	12.474	20.795	177.34	1.8273	22.888	0.0054885	vapor
298.00	0.040000	0.0016147	619.30	12.970	15.447	115.75	12.474	20.795	177.33	1.8273	22.888	0.0054887	vapor
298.00	0.042500	0.0017157	582.86	12.970	15.447	115.25	12.474	20.796	177.33	1.8273	22.889	0.0054889	vapor
298.00	0.045000	0.0018166	550.47	12.970	15.447	114.77	12.474	20.796	177.33	1.8273	22.889	0.0054891	vapor
298.00	0.047500	0.0019176	521.49	12.970	15.447	114.32	12.474	20.797	177.33	1.8273	22.889	0.0054893	vapor
298.00	0.050000	0.0020185	495.41	12.970	15.447	113.89	12.475	20.798	177.33	1.8273	22.890	0.0054894	vapor
298.00	0.052500	0.0021195	471.82	12.970	15.447	113.49	12.475	20.798	177.33	1.8273	22.890	0.0054896	vapor
298.00	0.055000	0.0022204	450.36	12.970	15.447	113.10	12.475	20.799	177.33	1.8273	22.890	0.0054898	vapor
298.00	0.057500	0.0023214	430.78	12.970	15.447	112.73	12.475	20.799	177.33	1.8273	22.891	0.0054900	vapor
298.00	0.060000	0.0024223	412.82	12.969	15.446	112.38	12.475	20.800	177.33	1.8273	22.891	0.0054901	vapor
298.00	0.062500	0.0025233	396.30	12.969	15.446	112.04	12.475	20.800	177.33	1.8272	22.891	0.0054903	vapor
298.00	0.065000	0.0026243	381.06	12.969	15.446	111.71	12.475	20.801	177.33	1.8272	22.891	0.0054905	vapor
298.00	0.067500	0.0027252	366.94	12.969	15.446	111.40	12.476	20.801	177.32	1.8272	22.892	0.0054906	vapor
298.00	0.070000	0.0028262	353.83	12.969	15.446	111.09	12.476	20.802	177.32	1.8272	22.892	0.0054908	vapor
298.00	0.072500	0.0029272	341.62	12.969	15.446	110.80	12.476	20.803	177.32	1.8272	22.892	0.0054910	vapor
298.00	0.075000	0.0030282	330.23	12.969	15.446	110.52	12.476	20.803	177.32	1.8272	22.893	0.0054911	vapor
298.00	0.077500	0.0031291	319.58	12.969	15.446	110.25	12.476	20.804	177.32	1.8272	22.893	0.0054913	vapor
298.00	0.080000	0.0032301	309.59	12.969	15.446	109.98	12.476	20.804	177.32	1.8272	22.893	0.0054914	vapor
298.00	0.082500	0.0033311	300.20	12.969	15.446	109.73	12.477	20.805	177.32	1.8272	22.894	0.0054916	vapor
298.00	0.085000	0.0034321	291.37	12.969	15.445	109.48	12.477	20.805	177.32	1.8272	22.894	0.0054918	vapor
298.00	0.087500	0.0035331	283.04	12.969	15.445	109.24	12.477	20.806	177.32	1.8272	22.894	0.0054919	vapor
298.00	0.090000	0.0036341	275.17	12.969	15.445	109.00	12.477	20.807	177.32	1.8272	22.894	0.0054921	vapor
298.00	0.092500	0.0037351	267.73	12.969	15.445	108.78	12.477	20.807	177.31	1.8271	22.895	0.0054922	vapor
298.00	0.095000	0.0038361	260.68	12.969	15.445	108.55	12.477	20.808	177.31	1.8271	22.895	0.0054924	vapor
298.00	0.097500	0.0039371	254.00	12.969	15.445	108.34	12.477	20.808	177.31	1.8271	22.895	0.0054925	vapor
298.00	0.10000	0.0040381	247.64	12.968	15.445	108.13	12.478	20.809	177.31	1.8271	22.896	0.0054927	vapor
298.00	0.10250	0.0041391	241.60	12.968	15.445	107.92	12.478	20.809	177.31	1.8271	22.896	0.0054928	vapor
298.00	0.10500	0.0042401	235.84	12.968	15.445	107.72	12.478	20.810	177.31	1.8271	22.896	0.0054930	vapor
298.00	0.10750	0.0043411	230.36	12.968	15.445	107.52	12.478	20.811	177.31	1.8271	22.896	0.0054931	vapor
298.00	0.11000	0.0044421	225.12	12.968	15.445	107.33	12.478	20.811	177.31	1.8271	22.897	0.0054932	vapor
298.00	0.11250	0.0045431	220.11	12.968	15.444	107.15	12.478	20.812	177.31	1.8271	22.897	0.0054934	vapor
298.00	0.11500	0.0046442	215.32	12.968	15.444	106.96	12.478	20.812	177.31	1.8271	22.897	0.0054935	vapor
298.00	0.11750	0.0047452	210.74	12.968	15.444	106.78	12.479	20.813	177.31	1.8271	22.897	0.0054937	vapor
298.00	0.12000	0.0048462	206.35	12.968	15.444	106.61	12.479	20.813	177.30	1.8271	22.898	0.0054938	vapor
298.00	0.12250	0.0049472	202.13	12.968	15.444	106.44	12.479	20.814	177.30	1.8270	22.898	0.0054940	vapor
298.00	0.12500	0.0050483	198.09	12.968	15.444	106.27	12.479	20.815	177.30	1.8270	22.898	0.0054941	vapor
298.00	0.12750	0.0051493	194.20	12.968	15.444	106.10	12.479	20.815	177.30	1.8270	22.898	0.0054942	vapor
298.00	0.13000	0.0052503	190.46	12.968	15.444	105.94	12.479	20.816	177.30	1.8270	22.899	0.0054944	vapor
298.00	0.13250	0.0053514	186.87	12.968	15.444	105.78	12.479	20.816	177.30	1.8270	22.899	0.0054945	vapor
298.00	0.13500	0.0054524	183.41	12.968	15.444	105.63	12.480	20.817	177.30	1.8270	22.899	0.0054947	vapor
298.00	0.13750	0.0055535	180.07	12.968	15.443	105.48	12.480	20.817	177.30	1.8270	22.899	0.0054948	vapor
298.00	0.14000	0.0056545	176.85	12.967	15.443	105.33	12.480	20.818	177.30	1.8270	22.900	0.0054949	vapor
298.00	0.14250	0.0057555	173.75	12.967	15.443	105.18	12.480	20.819	177.30	1.8270	22.900	0.0054951	vapor
298.00	0.14500	0.0058566	170.75	12.967	15.443	105.03	12.480	20.819	177.30	1.8270	22.900	0.0054952	vapor
298.00	0.14750	0.0059576	167.85	12.967	15.443	104.89	12.480	20.820	177.29	1.8270	22.901	0.0054953	vapor
298.00	0.15000	0.0060587	165.05	12.967	15.443	104.75	12.480	20.820	177.29	1.8270	22.901	0.0054955	vapor
298.00	0.15250	0.0061598	162.34	12.967	15.443	104.61	12.481	20.821	177.29	1.8270	22.901	0.0054956	vapor
