Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	0.0000	0.0000	infinite	12.971	15.449	445.20	12.472	20.786	177.35	undefined	22.879	0.0054834	vapor
298.00	0.58333	0.023615	42.346	12.956	15.426	93.423	12.506	20.919	177.13	1.8255	22.939	0.0055154	vapor
298.00	1.1667	0.047376	21.108	12.942	15.404	87.610	12.540	21.055	176.92	1.8236	22.986	0.0055389	vapor
298.00	1.7500	0.071284	14.028	12.927	15.382	84.189	12.575	21.192	176.70	1.8217	23.032	0.0055612	vapor
298.00	2.3333	0.095342	10.489	12.912	15.359	81.746	12.609	21.332	176.48	1.8197	23.076	0.0055830	vapor
298.00	2.9167	0.11955	8.3646	12.897	15.336	79.840	12.644	21.474	176.26	1.8177	23.121	0.0056046	vapor
298.00	3.5000	0.14392	6.9484	12.882	15.314	78.273	12.679	21.618	176.04	1.8157	23.166	0.0056262	vapor
298.00	4.0833	0.16844	5.9368	12.866	15.291	76.940	12.715	21.764	175.82	1.8137	23.211	0.0056477	vapor
298.00	4.6667	0.19312	5.1780	12.851	15.268	75.778	12.750	21.913	175.60	1.8116	23.256	0.0056694	vapor
298.00	5.2500	0.21797	4.5878	12.836	15.244	74.747	12.786	22.065	175.37	1.8096	23.301	0.0056911	vapor
298.00	5.8333	0.24298	4.1155	12.820	15.221	73.818	12.823	22.219	175.15	1.8075	23.347	0.0057130	vapor
298.00	6.4167	0.26816	3.7291	12.805	15.197	72.973	12.859	22.376	174.93	1.8054	23.393	0.0057351	vapor
298.00	7.0000	0.29352	3.4070	12.789	15.174	72.196	12.896	22.536	174.70	1.8032	23.440	0.0057573	vapor
298.00	7.5833	0.31904	3.1344	12.773	15.150	71.477	12.933	22.698	174.48	1.8011	23.487	0.0057798	vapor
298.00	8.1667	0.34475	2.9007	12.757	15.126	70.806	12.970	22.864	174.25	1.7989	23.535	0.0058024	vapor
298.00	8.7500	0.37063	2.6981	12.741	15.102	70.178	13.008	23.032	174.02	1.7967	23.583	0.0058253	vapor
