Pressure (bar),Density (mol/m3),,,,,,,,
0,0,,,,,,,,
0.5,20.233,,,,,,,,
1,40.572,,,,,,,,
1.5,61.019,,,,,,,,
2,81.576,,,,,,,,
2.5,102.24,,,,,,,,
3,123.02,,,,,,,,
3.5,143.92,,,,,,,,
4,164.93,,,,,,,,
4.5,186.06,,,,,,,,
5,207.3,,,,,,,,
5.5,228.67,,,,,,,,
6,250.16,,,,,,,,
6.5,271.77,,,,,,,,
7,293.52,,,,,,,,
7.5,315.38,,,,,,,,
8,337.38,,,,,,,,
8.5,359.52,,,,,,,,
9,381.78,,,,,,,,
9.5,404.19,,,,,,,,
10,426.73,,,,,,,,
10.5,449.41,,,,,,,,
11,472.23,,,,,,,,
11.5,495.2,,,,,,,,
12,518.32,,,,,,,,
12.5,541.59,,,,,,,,
13,565.01,,,,,,,,
13.5,588.59,,,,,,,,
14,612.32,,,,,,,,
14.5,636.22,,,,,,,,
15,660.28,,,,,,,,
15.5,684.5,,,,,,,,
16,708.89,,,,,,,,
16.5,733.46,,,,,,,,
17,758.2,,,,,,,,
17.5,783.12,,,,,,,,
18,808.22,,,,,,,,
18.5,833.51,,,,,,,,
19,858.99,,,,,,,,
19.5,884.66,,,,,,,,
20,910.52,,,,,,,,
20.5,936.58,,,,,,,,
21,962.85,,,,,,,,
21.5,989.33,,,,,,,,
22,1016,,,,,,,,
22.5,1042.9,,,,,,,,
23,1070,,,,,,,,
23.5,1097.4,,,,,,,,
24,1125,,,,,,,,
24.5,1152.8,,,,,,,,
25,1180.8,,,,,,,,
25.5,1209.1,,,,,,,,
26,1237.7,,,,,,,,
26.5,1266.5,,,,,,,,
27,1295.6,,,,,,,,
27.5,1324.9,,,,,,,,
28,1354.5,,,,,,,,
28.5,1384.4,,,,,,,,
29,1414.6,,,,,,,,
29.5,1445,,,,,,,,
30,1475.8,,,,,,,,
30.5,1506.9,,,,,,,,
31,1538.3,,,,,,,,
31.5,1570,,,,,,,,
32,1602,,,,,,,,
32.5,1634.4,,,,,,,,
33,1667.2,,,,,,,,
33.5,1700.3,,,,,,,,
34,1733.7,,,,,,,,
34.5,1767.6,,,,,,,,
35,1801.8,,,,,,,,
35.5,1836.4,,,,,,,,
36,1871.5,,,,,,,,
36.5,1907,,,,,,,,
37,1942.9,,,,,,,,
37.5,1979.2,,,,,,,,
38,2016.1,,,,,,,,
38.5,2053.4,,,,,,,,
39,2091.2,,,,,,,,
39.5,2129.5,,,,,,,,
40,2168.3,,,,,,,,
40.5,2207.7,,,,,,,,
41,2247.6,,,,,,,,
41.5,2288.2,,,,,,,,
42,2329.3,,,,,,,,
42.5,2371.1,,,,,,,,
43,2413.5,,,,,,,,
43.5,2456.5,,,,,,,,
44,2500.3,,,,,,,,
44.5,2544.8,,,,,,,,
45,2590.1,,,,,,,,
45.5,2636.2,,,,,,,,
46,2683,,,,,,,,
46.5,2730.8,,,,,,,,
47,2779.4,,,,,,,,
47.5,2828.9,,,,,,,,
48,2879.5,,,,,,,,
48.5,2931,,,,,,,,
49,2983.7,,,,,,,,
49.5,3037.5,,,,,,,,
50,3092.4,,,,,,,,
50.5,3148.6,,,,,,,,
51,3206.2,,,,,,,,
51.5,3265.1,,,,,,,,
52,3325.5,,,,,,,,
52.5,3387.4,,,,,,,,
53,3451.1,,,,,,,,
53.5,3516.5,,,,,,,,
54,3583.7,,,,,,,,
54.5,3653,,,,,,,,
55,3724.5,,,,,,,,
55.5,3798.3,,,,,,,,
56,3874.6,,,,,,,,
56.5,3953.6,,,,,,,,
57,4035.5,,,,,,,,
57.5,4120.6,,,,,,,,
58,4209.2,,,,,,,,
58.5,4301.6,,,,,,,,
58.5,4301.6,,,,,,,,
58.5,4301.6,,,,,,,,
59,4398.2,,,,,,,,
59.5,4499.4,,,,,,,,
60,4605.9,,,,,,,,
60.5,4718.1,,,,,,,,
61,4836.9,,,,,,,,
61.5,4963,,,,,,,,
62,5097.7,,,,,,,,
62.5,5242,,,,,,,,
63,5397.6,,,,,,,,
63.5,5566.4,,,,,,,,
64,5750.8,,,,,,,,
64.5,5953.6,,,,,,,,
65,6178.3,,,,,,,,
65.5,6428.8,,,,,,,,
66,6709.3,,,,,,,,
66.5,7022.9,,,,,,,,
67,7369.6,,,,,,,,
67.5,7744.1,,,,,,,,
68,8133.9,,,,,,,,
68.5,8522.3,,,,,,,,
69,8893.2,,,,,,,,
69.5,9235.3,,,,,,,,
70,9543.3,,,,,,,,
70.5,9817.1,,,,,,,,
71,10059,,,,,,,,
71.5,10274,,,,,,,,
72,10465,,,,,,,,
72.5,10636,,,,,,,,
73,10791,,,,,,,,
73.5,10931,,,,,,,,
74,11060,,,,,,,,
74.5,11178,,,,,,,,
75,11288,,,,,,,,
75.5,11390,,,,,,,,
76,11485,,,,,,,,
76.5,11575,,,,,,,,
77,11660,,,,,,,,
77.5,11740,,,,,,,,
78,11815,,,,,,,,
78.5,11888,,,,,,,,
79,11956,,,,,,,,
