P(kPa),L(ccSTP/g)
0.238095,3.78906
0.396825,3.86719
0.555556,3.94531
0.714286,3.94531
0.873016,3.94531
1.03175,3.94531
1.19048,6.44531
1.34921,6.60156
1.50794,6.67969
1.66667,6.67969
1.8254,6.67969
1.98413,6.67969
2.14286,6.44531
2.30159,8.94531
2.46032,9.10156
2.61905,9.17969
2.77778,9.17969
2.93651,9.17969
3.09524,9.17969
3.25397,10.6641
3.4127,10.8984
3.57143,10.8984
3.73016,10.8984
3.88889,10.8984
4.04762,10.8984
4.20635,12.3828
4.36508,12.6172
4.52381,12.6953
4.68254,12.6953
4.84127,12.6953
5,12.6953
5.15873,12.5391
5.31746,12.3047
9.44444,18.4766
9.60317,18.7109
9.7619,18.7109
9.92063,18.7891
10.0794,18.7891
10.2381,18.7891
10.3968,18.7109
10.5556,18.4766
14.0476,21.9922
14.2063,22.1484
14.3651,22.2266
14.5238,22.2266
14.6825,22.2266
14.8413,22.2266
15,22.2266
15.1587,21.9141
19.4444,24.8047
19.6032,25.0391
19.7619,25.0391
19.9206,25.0391
20.0794,25.0391
20.2381,25.0391
20.3968,24.8828
20.5556,24.7266
24.6825,26.9141
24.8413,27.0703
25,27.1484
25.1587,27.1484
25.3175,27.1484
25.4762,27.1484
25.6349,27.1484
25.7937,26.9141
30.0794,28.6328
30.2381,28.8672
30.3968,28.8672
30.5556,28.8672
30.7143,28.8672
30.873,28.8672
31.0317,28.5547
35.3175,30.0391
35.4762,30.1953
35.6349,30.1953
35.7937,30.2734
35.9524,30.2734
36.1111,30.2734
36.2698,29.9609
40.3968,31.1328
40.5556,31.3672
40.7143,31.3672
40.873,31.4453
41.0317,31.4453
41.1905,31.4453
41.3492,31.3672
41.5079,31.1328
45.4762,32.1484
45.6349,32.3828
45.7937,32.3828
45.9524,32.4609
46.1111,32.4609
46.2698,32.4609
46.4286,32.4609
46.5873,32.3047
46.746,32.2266
46.9048,32.2266
47.0635,32.2266
47.2222,32.2266
47.381,32.2266
47.5397,32.2266
48.9683,32.5391
49.127,32.5391
49.2857,32.5391
49.4444,32.6172
49.6032,32.6172
50.7143,33.0078
50.873,33.2422
51.0317,33.3203
51.1905,33.3203
51.3492,33.3203
51.5079,33.3203
51.6667,33.1641
51.8254,33.0078
55.7937,33.7891
55.9524,34.0234
56.1111,34.1016
56.2698,34.1016
56.4286,34.1016
56.5873,34.1016
56.746,34.1016
56.9048,33.8672
57.0635,33.8672
57.2222,33.8672
57.381,33.8672
57.5397,33.9453
61.0317,34.5703
61.1905,34.7266
61.3492,34.8047
61.5079,34.8828
61.6667,34.8828
61.8254,34.8047
61.9841,34.8047
62.1429,34.5703
62.3016,34.5703
62.4603,34.5703
62.619,34.5703
66.1111,35.1953
66.2698,35.4297
66.4286,35.5078
66.5873,35.5859
66.746,35.5859
66.9048,35.5859
67.0635,35.5078
67.2222,35.1953
67.381,35.2734
67.5397,35.2734
67.6984,35.2734
67.8571,35.2734
68.0159,35.2734
68.1746,35.2734
68.6508,35.3516
68.8095,35.3516
68.9683,35.3516
69.127,35.3516
70.7143,35.5859
70.873,35.5859
71.0317,35.6641
71.1905,35.6641
71.3492,35.8203
71.5079,36.0547
71.6667,36.1328
71.8254,36.1328
71.9841,36.1328
72.1429,36.1328
72.3016,35.8203
76.4286,36.4453
76.5873,36.6797
76.746,36.6797
76.9048,36.6797
77.0635,36.6797
77.2222,36.6797
77.381,36.3672
77.5397,36.3672
77.6984,36.3672
77.8571,36.3672
78.0159,36.3672
78.1746,36.3672
78.3333,36.3672
80.7143,36.6797
80.873,36.6797
81.0317,36.6797
81.5079,36.9141
81.6667,37.1484
81.8254,37.2266
81.9841,37.2266
82.1429,37.2266
82.3016,37.2266
82.4603,37.0703
82.619,36.9141
83.7302,36.9922
83.8889,36.9922
84.0476,36.9922
86.5873,37.3828
86.746,37.6172
86.9048,37.6172
87.0635,37.6953
87.2222,37.6953
87.381,37.6953
87.5397,37.6953
87.6984,37.3828
90.873,37.6953
91.0317,37.6953
91.1905,37.6953
91.3492,37.6953
91.5079,37.6953
91.6667,37.6953
91.8254,37.8516
91.9841,38.1641
92.1429,38.1641
92.3016,38.1641
92.4603,38.1641
92.619,38.1641
92.7778,37.8516
94.3651,38.0078
94.5238,38.0078
94.6825,38.0078
94.8413,38.0078
96.9048,38.3203
97.0635,38.5547
97.2222,38.5547
97.381,38.6328
97.5397,38.6328
97.6984,38.6328
97.8571,38.4766
98.0159,38.3203
101.508,38.6328
101.667,38.8672
101.825,38.9453
101.984,38.9453
102.143,38.9453
102.302,38.9453
102.46,38.9453
102.619,38.7109
