im2graph version 1.21 Copyright Shai Vaingast 2014-, http://www.im2graph.co.il

X, Y_0
0.390625, 3.14815
0.546875, 3.14815
0.703125, 3.14815
0.859375, 3.14815
1.01563, 3.14815
1.17188, 5.22222
1.32813, 5.44444
1.48438, 5.44444
1.64063, 5.51852
1.79688, 5.51852
1.95313, 5.51852
2.10938, 5.2963
2.26563, 5.14815
2.89063, 7.51852
3.04688, 7.66667
3.20313, 7.66667
3.35938, 7.66667
3.51563, 7.66667
3.67188, 7.51852
3.82813, 8.77778
3.98438, 8.7037
4.14063, 8.62963
4.29688, 8.62963
4.45313, 9.14815
4.60938, 9.07407
4.76563, 9
4.92188, 10.037
5.07813, 10.2593
5.23438, 10.3333
5.39063, 10.3333
5.54688, 10.3333
5.70313, 10.3333
5.85938, 10.1111
9.76563, 13.8889
9.92188, 14.1111
10.0781, 14.1111
10.2344, 14.1852
10.3906, 14.1852
10.5469, 14.1852
10.7031, 13.963
10.8594, 13.8148
14.9219, 17
15.0781, 17.1481
15.2344, 17.2222
15.3906, 17.2222
15.5469, 17.2222
15.7031, 17.2222
15.8594, 16.9259
20.0781, 19.3704
20.2344, 19.2963
20.3906, 19.2963
20.5469, 19.2222
20.7031, 19.6667
20.8594, 19.5185
21.0156, 19.3704
30.2344, 23.5185
30.3906, 23.7407
30.5469, 23.7407
30.7031, 23.7407
30.8594, 23.7407
31.0156, 23.7407
31.1719, 23.5926
31.3281, 23.4444
40.2344, 26.1852
40.3906, 26.4074
40.5469, 26.4815
40.7031, 26.5556
40.8594, 26.5556
41.0156, 26.5556
41.1719, 26.4815
41.3281, 26.2593
50.5469, 28.6296
50.7031, 28.4074
50.8594, 28.4074
51.0156, 28.4074
51.1719, 28.4074
51.3281, 28.7778
51.4844, 28.5556
60.7031, 30.5556
60.8594, 30.7778
61.0156, 30.7778
61.1719, 30.8519
61.3281, 30.8519
61.4844, 30.8519
61.6406, 30.6296
61.7969, 30.4815
70.8594, 32.2593
71.0156, 32.4815
71.1719, 32.4815
71.3281, 32.4815
71.4844, 32.4815
71.6406, 32.4815
71.7969, 32.3333
71.9531, 32.1852
73.9844, 32.5556
74.1406, 32.5556
74.2969, 32.5556
78.0469, 33.1481
78.2031, 33.1481
78.3594, 33.1481
80.3906, 33.5185
80.5469, 33.5185
80.7031, 33.5926
80.8594, 33.5926
81.0156, 33.7407
81.1719, 33.8889
81.3281, 34.037
81.4844, 34.037
81.6406, 34.037
81.7969, 34.037
81.9531, 34.037
82.1094, 33.8148
86.7969, 34.4815
86.9531, 34.4815
87.1094, 34.4815
90.0781, 35
90.2344, 35
90.3906, 35
91.1719, 35.3704
91.3281, 35.2222
91.4844, 35.1481
91.6406, 35.1481
91.7969, 35.1481
91.9531, 35.5926
92.1094, 35.4444
92.2656, 35.2963
101.016, 37.1481
101.172, 37.2963
101.328, 37.2963
101.484, 37.2963
101.641, 37.2963
101.797, 37.1481
101.953, 37
