P(torr),L(ccSTP/g)
3.04956,0.948950336
4.57462,1.428496644
6.09773,1.905865772
6.86535,2.143865772
7.59766,2.370469799
15.2212,4.709919463
22.5211,6.845127517
30.2016,9.004872483
37.856,11.07642953
74.1592,19.61503356
113.395,27.15825503
153.898,33.39355705
187.331,37.61261745
225.712,41.64348993
264.911,45.0390604
303.94,47.8861745
342.71,50.28080537
381.354,52.33932886
419.964,54.11234899
458.358,55.67892617
496.659,57.05033557
534.971,58.2885906
573.246,59.38536913
611.366,60.38657718
649.557,61.2766443
687.729,62.08563758
725.955,62.78671141
760.171,63.47261745
751.347,63.3661745
717.76,62.90295302
644.76,61.51060403
569.6,59.72161074
493.8,57.52697987
418.958,54.74067114
344.354,51.10147651
263.603,45.7452349
189.674,38.75248322
116.739,28.7042953
36.9194,11.56284564
