pressure (bar),fugacity (bar),⟨N⟩ (mmol/g)
0,0,0
0.001,0.000999994,0.078990093
0.001637894,0.001637878,0.125030609
0.002682696,0.002682652,0.199258386
0.004393971,0.004393854,0.328153168
0.007196857,0.007196545,0.504364372
0.011787686,0.011786849,0.806828105
0.019306977,0.019304732,1.136620538
0.031622777,0.031616753,1.594442956
0.051794747,0.051778587,2.104160227
0.08483429,0.08479094,2.453293914
0.138949549,0.138833267,2.744996201
0.227584593,0.22727269,2.95587593
0.372759372,0.37192284,3.07662494
0.61054023,0.608296979,3.169726807
1,0.993986039,3.229802176
